"","userID","role","modality","timeStamp","Context","A","B","C","psuedo_HOO","chatGroup","Condition","type","handwriting","volume"
"1","User1","Player","chat",1379410965,"Public",1,0,0,"psuedo","PAM","FirstHalf","L1","poor","low"
"2","User2","Player","resource",1379411071,"Private",0,1,1,"psuedo","PAM","FirstHalf","L2","good","low"
"3","User3","Mentor","chat",1379411300,"Public",1,0,0,"psuedo","PAM","FirstHalf","L1","poor","high"
"4","User1","Player","resource",1379411494,"Private",0,0,1,"psuedo","PAM","FirstHalf","L1","poor","low"
"5","User2","Player","chat",1379411667,"Public",0,1,0,"psuedo","PAM","FirstHalf","L2","good","low"
"6","User3","Mentor","chat",1379411813,"Public",1,0,1,"psuedo","PAM","FirstHalf","L1","poor","low"
"7","User1","Player","resource",1379500979,"Private",1,0,0,"psuedo","PAM","FirstHalf","L1","good","high"
"8","User2","Player","resource",1379501110,"Private",0,1,1,"psuedo","PAM","FirstHalf","L2","poor","high"
"9","User3","Mentor","chat",1379501265,"Public",1,0,0,"psuedo","PAM","FirstHalf","L1","poor","low"
"10","User1","Player","resource",1379501471,"Private",0,0,1,"psuedo","PAM","FirstHalf","L1","good","high"
"11","User2","Player","chat",1379501622,"Public",0,1,0,"psuedo","PAM","FirstHalf","L2","good","low"
"12","User3","Mentor","chat",1379501815,"Public",1,0,1,"psuedo","PAM","FirstHalf","L1","good","low"
"13","User1","Player","chat",1379410965,"Public",1,0,0,"psuedo","Electric","FirstHalf","L1","poor","low"
"14","User2","Player","resource",1379411071,"Private",0,1,1,"psuedo","Electric","FirstHalf","L2","good","low"
"15","User3","Mentor","chat",1379411300,"Public",1,0,0,"psuedo","Electric","FirstHalf","L1","poor","high"
"16","User1","Player","resource",1379411494,"Private",0,0,1,"psuedo","Electric","FirstHalf","L1","poor","low"
"17","User2","Player","chat",1379411667,"Public",0,1,0,"psuedo","Electric","FirstHalf","L2","good","low"
"18","User3","Mentor","chat",1379411813,"Public",1,0,1,"psuedo","Electric","FirstHalf","L1","poor","low"
"19","User1","Player","resource",1379500979,"Private",1,0,0,"psuedo","Electric","FirstHalf","L1","good","high"
"20","User2","Player","resource",1379501110,"Private",0,1,1,"psuedo","Electric","FirstHalf","L2","poor","high"
"21","User3","Mentor","chat",1379501265,"Public",1,0,0,"psuedo","Electric","FirstHalf","L1","poor","low"
"22","User1","Player","resource",1379501471,"Private",0,0,1,"psuedo","Electric","FirstHalf","L1","good","high"
"23","User2","Player","chat",1379501622,"Public",0,1,0,"psuedo","Electric","FirstHalf","L2","good","low"
"24","User3","Mentor","chat",1379501815,"Public",1,0,1,"psuedo","Electric","FirstHalf","L1","good","low"
