,userID,role,modality,timeStamp,chatGroup,condition,language,handwriting,A,B,C
1,User1,Player,chat,1379410965,PAM,FirstHalf,L1,poor,1,0,0
2,User2,Player,resource,1379411071,PAM,FirstHalf,L2,good,0,1,1
3,User3,Mentor,chat,1379411300,PAM,FirstHalf,L1,poor,1,0,0
4,User1,Player,resource,1379411494,PAM,FirstHalf,L1,poor,0,0,1
5,User2,Player,chat,1379411667,PAM,FirstHalf,L2,good,0,1,0
6,User3,Mentor,chat,1379411813,PAM,FirstHalf,L1,poor,1,0,1
7,User1,Player,resource,1379500979,PAM,FirstHalf,L1,good,1,0,0
8,User2,Player,resource,1379501110,PAM,FirstHalf,L2,poor,0,1,1
9,User3,Mentor,chat,1379501265,PAM,FirstHalf,L1,poor,1,0,0
10,User1,Player,resource,1379501471,PAM,FirstHalf,L1,good,0,0,1
11,User2,Player,chat,1379501622,PAM,FirstHalf,L2,good,0,1,0
12,User3,Mentor,chat,1379501815,PAM,FirstHalf,L1,good,1,0,1
13,User1,Player,chat,1379410965,Electric,FirstHalf,L1,poor,1,0,0
14,User2,Player,resource,1379411071,Electric,FirstHalf,L2,good,0,1,1
15,User3,Mentor,chat,1379411300,Electric,FirstHalf,L1,poor,1,0,0
16,User1,Player,resource,1379411494,Electric,FirstHalf,L1,poor,0,0,1
17,User2,Player,chat,1379411667,Electric,FirstHalf,L2,good,0,1,0
18,User3,Mentor,chat,1379411813,Electric,FirstHalf,L1,poor,1,0,1
19,User1,Player,resource,1379500979,Electric,FirstHalf,L1,good,1,0,0
20,User2,Player,resource,1379501110,Electric,FirstHalf,L2,poor,0,1,1
21,User3,Mentor,chat,1379501265,Electric,FirstHalf,L1,poor,1,0,0
22,User1,Player,resource,1379501471,Electric,FirstHalf,L1,good,0,0,1
23,User2,Player,chat,1379501622,Electric,FirstHalf,L2,good,0,1,0
24,User3,Mentor,chat,1379501815,Electric,FirstHalf,L1,good,1,0,1
